seq_len,d_model,dtype,batch_size,is_causal,pytorch_forward_ms,pytorch_backward_ms,pytorch_fwd_bwd_ms,flash_forward_ms,flash_backward_ms,flash_fwd_bwd_ms,forward_speedup,backward_speedup,fwd_bwd_speedup
128,16,torch.bfloat16,1,True,0.03377031534910202,0.12779200077056885,0.2965996563434601,0.007061994168907404,0.11002693325281143,0.2729414701461792,4.781980067016509,1.1614610804150853,1.0866786061664073
128,16,torch.float32,1,True,0.04044326767325401,0.19400754570960999,0.32708948850631714,0.008436004631221294,0.09177891165018082,0.17541159689426422,4.794125826291655,2.1138575542176605,1.8646970570793124
128,32,torch.bfloat16,1,True,0.03363608941435814,0.13208328187465668,0.29305511713027954,0.0078011974692344666,0.10374622792005539,0.19183246791362762,4.311657222754401,1.2731381614803114,1.5276617160668928
128,32,torch.float32,1,True,0.04240800812840462,0.13730160892009735,0.31499797105789185,0.009417803026735783,0.09279084950685501,0.19212375581264496,4.502961891219683,1.479689103503186,1.639557636823794
128,64,torch.bfloat16,1,True,0.03402864187955856,0.12934419512748718,0.4777260422706604,0.00869258213788271,0.12402185797691345,0.24608272314071655,3.9146759086992153,1.0429145090824592,1.9413229672262857
128,64,torch.float32,1,True,0.042768996208906174,0.13718457520008087,0.32115429639816284,0.01709812879562378,0.09491650760173798,0.18430045247077942,2.5013846088147837,1.445318403155922,1.7425583719013462
128,128,torch.bfloat16,1,True,0.028494585305452347,0.12158092111349106,0.28531593084335327,0.01038634218275547,0.10406959056854248,0.18937991559505463,2.743466834046941,1.1682655850693988,1.5065796705361076
128,128,torch.float32,1,True,0.03526477888226509,0.13638310134410858,0.33137571811676025,0.028721844777464867,0.109690360724926,0.18830716609954834,1.2278034073192194,1.2433462743925223,1.7597615904940065
256,16,torch.bfloat16,1,True,0.03425470367074013,0.13478071987628937,0.3096647262573242,0.008427747525274754,0.10548298060894012,0.18724173307418823,4.064514696009879,1.2777484964703978,1.653823221848892
256,16,torch.float32,1,True,0.03263785317540169,0.13355571031570435,0.32675641775131226,0.010397335514426231,0.09947066754102707,0.20001456141471863,3.139059341705083,1.3426642609050428,1.633663146523626
256,32,torch.bfloat16,1,True,0.0323723740875721,0.12671637535095215,0.2954201102256775,0.009139097295701504,0.10697529464960098,0.2035168707370758,3.5421850802264867,1.1845386896667436,1.451575533545481
256,32,torch.float32,1,True,0.035170577466487885,0.14862582087516785,0.3498133420944214,0.014049675315618515,0.10693497955799103,0.20716127753257751,2.503301797116267,1.3898709429739762,1.6886039044599483
256,64,torch.bfloat16,1,True,0.029709406197071075,0.13617581129074097,0.2755237817764282,0.010416761040687561,0.111224465072155,0.2669530212879181,2.852077155367874,1.2243332544004524,1.0321058755850014
256,64,torch.float32,1,True,0.05391223728656769,0.16184352338314056,0.328422874212265,0.02751084417104721,0.09220745414495468,0.1834569275379181,1.959672227844817,1.7552108436777198,1.7901906383141863
256,128,torch.bfloat16,1,True,0.029873358085751534,0.11781935393810272,0.27654093503952026,0.014857080765068531,0.10360339283943176,0.2583348751068115,2.0107151975634925,1.1372152080067819,1.070474650103596
256,128,torch.float32,1,True,0.037960655987262726,0.1950906664133072,0.4263310730457306,0.04871572181582451,0.11685534566640854,0.25860610604286194,0.7792280309584128,1.6695057063990897,1.6485731120945364
512,16,torch.bfloat16,1,True,0.0337480828166008,0.15146169066429138,0.2983049154281616,0.010596880689263344,0.1663980931043625,0.28456032276153564,3.184718579571631,0.9102369374467337,1.048301156441069
512,16,torch.float32,1,True,0.03769492730498314,0.1927434802055359,0.39943236112594604,0.0156547874212265,0.1712053269147873,0.26776862144470215,2.407884967755753,1.1258030557744771,1.4917071274851905
512,32,torch.bfloat16,1,True,0.033783696591854095,0.18008188903331757,0.3684486150741577,0.01308475062251091,0.16868752241134644,0.2808913290500641,2.5819136769586475,1.0675471810783126,1.3117123135135582
512,32,torch.float32,1,True,0.03802213817834854,0.19039790332317352,0.39560067653656006,0.022212382405996323,0.12450623512268066,0.27472251653671265,1.7117541686156237,1.5292238427703426,1.4400009199234816
512,64,torch.bfloat16,1,True,0.03419199958443642,0.12255357205867767,0.37165936827659607,0.013292479328811169,0.15884433686733246,0.27522554993629456,2.57228156904679,0.771532523448003,1.3503810542394146
512,64,torch.float32,1,True,0.03939127177000046,0.186793714761734,0.32180142402648926,0.04855877533555031,0.10211848467588425,0.21934068202972412,0.8112080977701627,1.8291861199723247,1.4671305890390187
512,128,torch.bfloat16,1,True,0.03474860638380051,0.18257418274879456,0.352284699678421,0.02310268022119999,0.17353194952011108,0.27995815873146057,1.5040941592531643,1.0521070226761646,1.2583476805058464
512,128,torch.float32,1,True,0.041079968214035034,0.18804192543029785,0.40375816822052,0.08741708844900131,0.17698480188846588,0.27950894832611084,0.4699306387675092,1.0624749889473564,1.4445268054511233
1024,16,torch.bfloat16,1,True,0.045372374355793,0.13281108438968658,0.30403849482536316,0.016623808071017265,0.09915652126073837,0.1914159208536148,2.729361056261071,1.3394084695695545,1.5883657611629725
1024,16,torch.float32,1,True,0.05424894765019417,0.13931860029697418,0.33845940232276917,0.025928428396582603,0.10870582610368729,0.1773861199617386,2.092257456581682,1.2816111637299679,1.9080376886070534
1024,32,torch.bfloat16,1,True,0.04552774131298065,0.12209326028823853,0.2944619953632355,0.02136041969060898,0.10626307129859924,0.18605375289916992,2.1314066845323616,1.1489716869292856,1.5826716245966637
